brand,description,price_usd,type
LOEWE,Fringed Logo-Embroidered Two-Tone Wool and Cashmere-Blend Scarf,450,accessories
DIOR EYEWEAR,Diamond R2I Acetate and Silver-Tone Round-Frame Sunglasses,730,accessories
DIOR EYEWEAR,DiorBlackSuit RI Round-Frame Acetate and Silver-Tone Sunglasses,550,accessories
ALEXANDER MCQUEEN,Studded Leather Cardholder,320,accessories
RICK OWENS,+ Champion Logo-Appliquéd Recycled-Shell Cap,135,accessories
LOEWE,Puzzle Large Two-Tone Leather Tote Bag,2450,accessories
ALICE MADE THIS,P8 Bancroft Sterling Silver Cuff,665,accessories
BOTTEGA VENETA,Intrecciato Leather Billfold Wallet with Money Clip,650,accessories
BALENCIAGA,Le Cagole Studded Crinkled-Leather Backpack,2750,accessories
TOM WOOD,Spike Gold-Plated Chain Bracelet,220,accessories
GUCCI,Leather-Trimmed Monogrammed Ripstop Messenger Bag,1680,accessories
BOTTEGA VENETA,3.5cm Reversible Intrecciato Leather Belt,850,accessories
LOEWE,Puzzle Edge Mini Leather Belt Bag,2100,accessories
JACQUEMUS,Logo-Appliquéd Cotton-Canvas Bucket Hat,125,accessories
DIOR EYEWEAR,CD Diamond S4U D-Frame Silver-Tone and Tortoiseshell Acetate Sunglasses,850,accessories
LOEWE,Elephant Pocket Leather Messenger Bag,890,accessories
MISSONI,Logo-Jacquard Striped Wool Scarf,460,accessories
GARRETT LEIGHT CALIFORNIA OPTICAL,Kinney Round-Frame Acetate Sunglasses,385,accessories
BOTTEGA VENETA,Intrecciato Large Embellished Leather Briefcase,6500,accessories
BOTTEGA VENETA,Intrecciato Padded Shell Messenger Bag,1900,accessories
GUCCI,Logo-Jacquard Wool and Silk-Blend Scarf,565,accessories
LUIS MORAIS,"Gold, Coral and Indian Agate Beaded Bracelet",430,accessories
LORO PIANA,Fringed Cashmere Scarf,585,accessories
JACQUES MARIE MAGE,Taos Square-Frame Acetate Sunglasses,750,accessories
BRUNELLO CUCINELLI,Leather Backpack,4995,accessories
TOM FORD,3cm Patent-Leather Belt,990,accessories
THE ROW,Clovis Leather-Trimmed Canvas Weekend Bag,1910,accessories
ELLIE MERCER,Sterling Silver and Resin Cuff,985,accessories
BRUNELLO CUCINELLI,Suede-Trimmed Cashmere Gloves,995,accessories
TOM FORD,Full-Grain Leather Belt Bag,2490,accessories
CELINE HOMME,Logo-Appliquéd Ribbed Wool Scarf,590,accessories
GALLERY DEPT.,Embellished Quilted Leather Belt Bag,2700,accessories
ELLIE MERCER,Sterling Silver and Resin Signet Ring,500,accessories
CARTIER EYEWEAR,Frameless Gold-Tone Sunglasses,1295,accessories
BOTTEGA VENETA,Intrecciato Padded Shell Briefcase,2900,accessories
LOEWE EYEWEAR,Curvy Round-Frame Acetate Sunglasses,310,accessories
A.P.C.,+ JW Anderson Fringed Knitted Scarf,335,accessories
LORO PIANA,Tamar Ribbed Herringbone Cashmere Scarf,1100,accessories
SAINT LAURENT,Full-Grain Leather Briefcase,1590,accessories
BRUNELLO CUCINELLI,Cotton-Blend Corduroy Baseball Cap,650,accessories
BERLUTI,3 Nuits Neo Scritto Venezia Leather Briefcase,5350,accessories
CARTIER EYEWEAR,Frameless Gold-Tone Sunglasses,1095,accessories
MR P.,3.5cm Woven Leather Belt,170,accessories
ANDERSON'S,4cm Burnished-Leather Belt,235,accessories
BURBERRY,Boston Leather-Trimmed Checked Coated-Canvas Duffle Bag,2390,accessories
RUBINACCI,Cashmere Gloves,195,accessories
CELINE HOMME,Triomphe Leather-Trimmed Logo-Print Coated-Canvas Backpack,1850,accessories
CELINE HOMME,Triomphe Leather-Trimmed Coated-Canvas Cardholder,295,accessories
CELINE HOMME,Alan Crystal-Embellished D-Frame Acetate Sunglasses,500,accessories
GUCCI,3cm Reversible Monogrammed Supreme Coated-Canvas and Full-Grain Leather Belt,570,accessories
FENDI EYEWEAR,Fendigraphy Square-Frame Acetate Sunglasses,510,accessories
GUCCI,Horsebit 1955 Leather-Trimmed Printed Coated-Canvas Shoulder Bag,1200,accessories
GALLERY DEPT.,Workshop Paint-Splattered Logo-Print Canvas and Mesh Trucker Cap,500,accessories
BOTTEGA VENETA,Intrecciato Padded Shell Messenger Bag,2500,accessories
SAINT LAURENT,Logo-Appliquéd Fringed Silk Scarf,395,accessories
BALENCIAGA EYEWEAR,Cat-Eye Acetate Sunglasses,820,accessories
GUCCI,Ophidia Leather and Monogrammed Coated-Canvas Billfold Wallet,450,accessories
TOM FORD,Day Fringed Logo-Embroidered Cashmere Scarf,920,accessories
ZEGNA,Leather-Trimmed Cashmere Beanie,390,accessories
JACQUES MARIE MAGE,Ashcroft Rectangular-Frame Acetate and Silver-Tone Sunglasses,750,accessories
GUCCI,Ophidia Medium Leather-Trimmed Monogrammed Coated-Canvas Messenger Bag,1850,accessories
SAINT LAURENT,Logo-Appliquéd Pebble-Grain Leather Bifold Wallet,425,accessories
THE ROW,Caspian Cashmere Baseball Cap,690,accessories
LOEWE,Goya Puffer Logo-Embellished Shell Messenger Bag,2500,accessories
ZEGNA,Logo-Embroidered Leather-Trimmed Cashmere Gloves,785,accessories
SAINT LAURENT,Logo-Debossed Padded Leather Tote Bag,3290,accessories
SAINT LAURENT EYEWEAR,Square-Frame Recycled-Acetate Sunglasses,545,accessories
MONCLER GENIUS,+ Palm Angels Logo-Appliquéd Ribbed Wool Beanie,320,accessories
ALEXANDER MCQUEEN,The Edge Full-Grain Leather Backpack,2990,accessories
ALEXANDER MCQUEEN,Silver-Tone and Faux Pearl Chain Bracelet,750,accessories
BOTTEGA VENETA,Intrecciato Leather Messenger Bag,7200,accessories
THE ROW,Gio Duffle Full-Grain Leather Weekend Bag,3900,accessories
LOEWE,Puzzle Small Leather Belt Bag,2400,accessories
BURBERRY,Leather-Trimmed Checked Wool Tote Bag,1650,accessories
GUCCI,Logo-Appliquéd Coated-Canvas and Mesh Trucker Hat,460,accessories
TOM FORD,4cm Reversible Full-Grain Leather Belt,790,accessories
GALLERY DEPT.,Logo-Print Canvas and Mesh Trucker Cap,120,accessories
TOM FORD,Full-Grain Leather Cardholder,390,accessories
TOM FORD,Full-Grain Leather Billfold Wallet,590,accessories
PEYOTE BIRD,"Sotogrande Gold-Plated, Turquoise and Chalcedony Necklace",2200,accessories
GALLERY DEPT.,Logo-Print Canvas and Mesh Trucker Cap,180,accessories
ACNE STUDIOS,Canada Fringed Cashmere Scarf,420,accessories
TOM FORD,Suede-Trimmed Full-Grain Leather Backpack,4490,accessories
GALLERY DEPT.,Logo-Embroidered Cotton-Twill Baseball Cap,210,accessories
GALLERY DEPT.,Printed Two-Tone Twill and Mesh Trucker Cap,195,accessories
MIANSAI,Valor Gold Spinel Pendant Necklace,825,accessories
KINGSMAN,+ Deakin & Francis Sterling Silver Mother-of-Pearl Cufflinks and Shirt Studs Set,680,accessories
STONE ISLAND,Logo-Appliquéd Crinkled-ECONYL® Cap,195,accessories
VISVIM,Leather-Trimmed CORDURA® Backpack,800,accessories
TOM FORD,7.5cm Knitted Silk Tie,183,accessories
BRUNELLO CUCINELLI,Ribbed Cashmere Socks,580,accessories
LOEWE,Logo-Debossed Full-Grain Leather Tote Bag,2300,accessories
